smiles,bsse
[H]OC(=O)/C(=N\N([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])C(=O)C(F)(F)F,-0.062401
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],-0.00285
[H]OC(=O)C([H])([H])C([H])([H])C1(C([H])([H])[H])Oc2c(C([H])([H])[H])c([H])c(O[H])c([H])c2C([H])([H])C1([H])[H],-0.005347
[H]OC(=O)C([H])([H])C([H])([H])c1c([H])c(O[H])c(O[H])c(O[H])c1[H],-0.006919
[H]OC(=O)C([H])([H])C1(C([H])([H])[H])Oc2c([H])c(OC([H])([H])[H])c(O[H])c([H])c2C([H])([H])C1([H])[H],-0.088159
[H]OC(=O)C([H])([H])c1c([H])c([H])c(O[H])c(O[H])c1[H],0.007987
[H]OC(=O)C([H])([H])c1c([H])c(O[H])c(O[H])c(O[H])c1[H],-0.099415
[H]OC(=O)C1(C([H])([H])[H])Oc2c(C([H])([H])[H])c(C([H])([H])[H])c(O[H])c(C([H])([H])[H])c2C([H])([H])C1([H])[H],-0.048082
[H]OC(=O)c1c([H])c(/C([H])=C(\[H])c2c([H])c([H])c(O[H])c([H])c2[H])c([H])c([H])c1O[H],-0.014762
[H]OC(=O)c1c([H])c(O[H])c(O[H])c(O[H])c1[H],-0.045401
[H]OC(=O)c1c([H])c(OC([H])([H])[H])c([H])c([H])c1O[H],-0.01376
[H]OC(=O)c1nc(C([H])([H])[H])c2c(c1[H])c1c([H])c([H])c([H])c([H])c1n2[H],-0.010384
[H]OC1(C(F)(F)F)C(C(=O)OC([H])([H])[H])=NN([H])c2nnnn21,-0.124375
[H]OC1(C(F)(F)F)C(C(=O)OC([H])([H])C([H])([H])[H])=NN([H])c2nnnn21,-0.128586
[H]OC1=C(C([H])([H])C([H])([H])[H])C(=O)c2c(O[H])c(O[H])c(O[H])c(O[H])c2C1=O,-0.209231
[H]OC1=C(C([H])([H])C2=C(O[H])/C(=C(\[H])C([H])([H])[H])N([H])C2=O)C(=O)N([H])/C1=C(/[H])C([H])([H])[H],-0.090875
[H]OC1=C(c2c([H])c([H])c([H])c([H])c2[H])C(=O)OC1([H])[H],-0.017911
[H]OC1=C(c2c([H])c([H])c([H])c([H])c2C([H])([H])[H])C(=O)OC1([H])[H],-0.018176
[H]OC1=C(c2c([H])c([H])c([H])c(Br)c2[H])C(=O)OC1([H])[H],-0.014623
[H]OC1=C(c2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])C(=O)OC1([H])[H],-0.008476
[H]OC1=C(c2c([H])c([H])c([H])c(Cl)c2[H])C(=O)OC1([H])[H],-0.082085
[H]OC1=C(c2c([H])c([H])c([H])c(F)c2[H])C(=O)OC1([H])[H],-0.089778
[H]OC1=C(c2c([H])c([H])c(Br)c([H])c2[H])C(=O)OC1([H])[H],-0.084075
[H]OC1=C(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])C(=O)OC1([H])[H],-0.018239
[H]OC1=C(c2c([H])c([H])c(Cl)c([H])c2[H])C(=O)OC1([H])[H],-0.092997
[H]OC1=C(c2c([H])c([H])c(Cl)c(Cl)c2[H])C(=O)OC1([H])[H],-0.033603
[H]OC1=C(c2c([H])c([H])c(F)c([H])c2[H])C(=O)OC1([H])[H],-0.076802
[H]OC1=C(c2c([H])c([H])c(OC([H])([H])C([H])([H])[H])c(OC([H])([H])C([H])([H])[H])c2[H])C(=O)OC1([H])[H],-0.014769
[H]OC1=C(N([H])[H])C(=O)c2c(O[H])c(C([H])([H])C([H])([H])[H])c(O[H])c(O[H])c2C1=O,-0.200055
[H]OC1=C(N([H])[H])C(=O)c2c(O[H])c(O[H])c(C([H])([H])C([H])([H])[H])c(O[H])c2C1=O,-0.279343
[H]OC1=C(O[H])C(=O)C(O[H])=C(O[H])C1=O,-0.206931
[H]OC1=C(O[H])C(=O)c2c(O[H])c(O[H])c([H])c(O[H])c2C1=O,-0.221024
[H]Oc1c([H])c(/C([H])=C(\[H])C(=O)C([H])([H])[H])c([H])c(Br)c1O[H],-0.060328
[H]Oc1c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c(O[H])c1O[H],-0.051622
[H]Oc1c([H])c(/C([H])=N/c2c(C#N)nc([H])n2C([H])([H])[H])c([H])c(O[H])c1O[H],-0.033975
[H]Oc1c([H])c([H])c(/C([H])=C(/[H])C([H])([H])[H])c([H])c1OC([H])([H])[H],-0.008533
[H]Oc1c([H])c([H])c(/C([H])=C(/[H])c2c([H])c(O[H])c([H])c(O[H])c2[H])c([H])c1[H],-0.099291
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)N2C(=O)C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],-0.026621
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])[H])c([H])c1O[H],-0.103038
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c1O[H],-0.095918
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c1O[H],-0.110523
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1O[H],-0.112737
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1O[H],-0.181437
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])([H])C([H])([H])C(=C([H])[H])C([H])([H])[H])c([H])c1O[H],-0.117342
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1O[H],-0.138116
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)Oc2c([H])c([H])c([H])c([H])c2[H])c([H])c1O[H],-0.138219
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])c2c([H])c([H])c(O[H])c([H])c2[H])c([H])c1[H],-0.088466
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])c2c([H])c(=O)c(O[H])c([H])n2[H])c([H])c1[H],-0.171134
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])c2c([H])c(=O)c(O[H])c([H])n2C([H])([H])[H])c([H])c1[H],-0.023923
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])c2c([H])c(O[H])c([H])c(O[H])c2Br)c([H])c1[H],-0.042186
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])c2c([H])c(O[H])c([H])c(OC([H])([H])[H])c2[H])c([H])c1[H],-0.108408
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])c2c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c2[H])c([H])c1[H],-0.00586
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])c2oc([H])c(O[H])c(=O)c2[H])c([H])c1[H],-0.126936
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])S(=O)(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1O[H],-0.098434
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])S(=O)(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1O[H],-0.021131
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])S(=O)(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1O[H],-0.028611
[H]Oc1c([H])c([H])c(/C([H])=C(\[H])S(=O)(=O)C([H])([H])C2([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1O[H],-0.390366
